name,location,description,category,historical_period,latitude,longitude,keywords,tourism_season,avg_visit_time,popularity_level,fun_fact,source,pop_num,is_spring,is_summer,is_autumn,is_winter,era_group,region,multiverse_categories,visit_time_num
Stari Most,mostar,"A 16th-century Ottoman bridge crossing the Neretva river, a symbol of the city and a UNESCO World Heritage site.",monument,Ottoman,43.3373,17.815,"bridge, UNESCO, Ottoman, Neretva, architecture",Summer,1 hour,A,Local divers jump from the bridge into the cold Neretva river as a traditional rite of passage.,https://en.wikipedia.org/wiki/Stari_Most,3,0,1,0,0,Ottoman,Herzegovina,"['monument', 'history']",1.0
Baščaršija,sarajevo,"The historical and cultural center of Sarajevo, established in the 15th century as a market hub.It is the epicenter of Sarajevo's food culture.",urban heritage,Ottoman,43.8598,18.4313,"market, bazaar, crafts, cevapi, burek, coffee, tradition,sebilj, old town",All year,2-3 hours,A,The name Baščaršija derives from the Turkish words 'baş' (head) and 'çarşı' (market).,https://en.wikipedia.org/wiki/Baščaršija,3,1,1,1,1,Ottoman,Sarajevo Region,['urban heritage'],2.5
Kastel Fortress,banja luka,"A historic fortress situated on the left bank of the Vrbas river, containing remains of Roman and Ottoman fortifications.",fortress,Roman/Ottoman,44.7663,17.1889,"castle, fortification, river, history, cevapi",Spring-Summer,1-2 hours,A,The fortress is one of the oldest buildings in Bosnia and Herzegovina with traces of Neolithic settlements.,https://en.wikipedia.org/wiki/Kastel_Fortress,3,1,1,0,0,Multi-Era,Northern Bosnia,"['fortress', 'history', 'nature']",1.5
Kamene kugle (Stone Spheres),zavidovići,"Large, mysterious spherical stone formations found in the forest near Zavidovići.",nature,Unknown,44.4333,18.15,"mystery, nature, archeology, stone spheres",Spring-Autumn,1 hour,C,"The largest sphere is estimated to weigh over 30 tons, making it one of the largest in Europe.",https://gozdici.com/en/stone-spheres/,1,1,1,1,0,Ancient,Central Bosnia,"['nature', 'archaeological']",1.0
Bosnian Pyramid of the Sun,visoko,A hillsite claimed by some to be the largest man-made ancient pyramid in the world.,other heritage/leisure,Controversial,43.98,18.17,"pyramids, mystery, tunnels, Visoko",All year,3-4 hours,B,The Ravne tunnels underneath the pyramids are claimed to have high concentrations of negative ions.,https://en.wikipedia.org/wiki/Bosnian_pyramid_claims,2,1,1,1,1,Ancient,Central Bosnia,['other heritage/leisure'],3.5
Obelisk near Olovo,"bakići, olovo","A mysterious 14th-century stone monolith decorated with carvings of a boar, a snake, and a crescent.",monument,Medieval,44.1111,18.5778,"obelisk, monolith, medieval, mystery, carvings",Spring-Autumn,45 min,C,"The obelisk is a unique monument of the Bosnian Church, likely marking the tomb of a high-ranking noble.",https://lll.ba/obelisk-of-the-king-tvrtko/,1,1,1,1,0,Medieval,Central Bosnia,"['monument', 'history']",0.75
Lukomir Village,konjic/bjelašnica,"The highest and most isolated mountain village in Bosnia and Herzegovina, preserving traditional lifestyles.",traditional village,Medieval/Traditional,43.6139,18.1819,"mountains, hiking, traditional, village, high altitude",Summer,4-6 hours,C,Lukomir is unique for its stone houses with cherry wood roof tiles.,https://en.wikipedia.org/wiki/Lukomir,1,0,1,0,0,Medieval,Herzegovina,"['traditional village', 'nature']",5.0
AVNOJ Museum,jajce,The building where the Second Session of the Anti-Fascist Council for the National Liberation of Yugoslavia was held in 1943.,museum,Yugoslavia,44.3411,17.2703,"Yugoslavia, WWII, partisans, Tito, history",All year,1 hour,B,Socialist Yugoslavia was officially born within these walls during the 1943 assembly.,https://en.wikipedia.org/wiki/Jajce,2,1,1,1,1,Modern,Central Bosnia,"['museum', 'history']",1.0
Tjentište (Sutjeska Memorial),tjentište,A massive brutalist monument commemorating the Battle of the Sutjeska during WWII.,monument,Yugoslavia,43.3453,18.6861,"brutalism, WWII, memorial, hiking, Sutjeska",Spring-Autumn,1-2 hours,B,The monument was designed by Miodrag Živković and is one of the most iconic Spomeniks in the Balkans.,https://en.wikipedia.org/wiki/Sutjeska_National_Park,2,1,1,1,0,Modern,Herzegovina,['monument'],1.5
Mehmed Paša Sokolović Bridge,višegrad,A 16th-century Ottoman bridge designed by Mimar Sinan and featured in Ivo Andrić's famous novel.,monument,Ottoman,43.7825,19.2878,"bridge, UNESCO, literature, Sinan, Drina",Summer,1 hour,A,The bridge is the central 'character' in the Nobel-prize winning novel 'The Bridge on the Drina'.,https://en.wikipedia.org/wiki/Mehmed_Paša_Sokolović_Bridge,3,0,1,0,0,Ottoman,Eastern Bosnia,['monument'],1.0
